name,lat,lon,diam
 ,-53.597,-175.191,96.819
 ,-44.224,114.013,96.706
Hesiod,-58.233,-34.422,96.599
 ,76.774,177.084,96.519
 ,-44.927,-135.429,96.467
 ,-15.692,82.614,96.411
 ,44.246,-92.992,96.404
 ,-34.482,106.680,96.282
 ,11.351,-28.967,96.233
 ,-50.615,-171.416,96.208
 ,-39.191,-159.786,96.175
 ,-47.090,-43.386,96.162
 ,-33.441,171.924,96.129
Po Ya,-45.929,-20.087,95.913
 ,-57.239,-80.756,95.839
 ,27.695,-47.593,95.831
 ,-53.507,19.794,95.800
 ,-16.092,143.264,95.787
 ,-6.293,110.914,95.785
 ,15.766,93.739,95.725
 ,-52.027,122.548,95.695
 ,-10.609,67.453,95.654
 ,-28.908,-149.915,95.562
 ,41.363,111.679,95.561
Bagryana,-3.993,76.214,95.556
 ,-48.489,-28.636,95.553
 ,-75.119,141.890,95.482
 ,-5.909,-29.122,95.402
Stieglitz,72.511,67.580,95.242
Sibelius,-49.443,-145.306,95.126
 ,-14.132,-145.106,95.110
Philoxenus,-8.692,-111.786,94.955
 ,24.832,1.228,94.948
 ,-66.929,65.845,94.825
Catullus,21.946,-67.582,94.681
 ,12.997,-27.655,94.580
 ,40.405,-54.686,94.548
 ,-35.591,105.714,94.544
 ,-67.810,-107.869,94.420
 ,65.482,108.086,94.298
 ,32.206,90.814,94.267
 ,67.217,154.631,94.264
Chao Meng-Fu,-89.093,-157.750,94.214
Repin,-19.192,-63.386,94.208
Simonides,-29.291,-44.886,94.165
 ,49.304,-66.786,94.138
 ,8.207,124.514,94.131
 ,53.097,-68.646,93.979
Byron,-8.497,-32.953,93.913
 ,-32.300,-160.629,93.881
 ,13.408,-51.448,93.789
 ,-28.222,74.354,93.788
 ,-8.752,48.266,93.723
 ,-26.712,-110.137,93.640
 ,-19.392,157.214,93.603
 ,-6.178,136.241,93.580
 ,-56.371,86.903,93.549
 ,-26.962,-92.125,93.382
 ,5.749,-76.542,93.306
 ,29.361,80.309,93.292
 ,-52.096,-0.652,93.263
 ,-31.152,-43.276,93.258
 ,-29.783,103.375,93.197
 ,-54.989,157.414,93.129
 ,26.606,99.814,93.088
